siteId,date,fishIbi
fish-1,2014-07-01,13
fish-1,2013-07-01,14
fish-1,2015-07-01,23
fish-2,2007-07-01,27
fish-2,2008-07-01,28
fish-2,2013-07-01,29
fish-2,2016-07-01,29
fish-2,2009-07-01,36
fish-3,2007-07-01,36
fish-3,2013-07-01,40
fish-3,2008-07-01,41
fish-3,2009-07-01,42
fish-3,2016-07-01,43
fish-4,2012-07-01,41
fish-4,2014-07-01,41
fish-4,2011-07-01,43
fish-4,2010-07-01,44
fish-4,2017-07-01,48
fish-5,2011-07-01,45
fish-5,2010-07-01,46
fish-5,2012-07-01,46
fish-5,2015-07-01,48
fish-6,2006-07-01,6
fish-6,2001-07-01,13
fish-6,2004-07-01,16
fish-6,2005-07-01,17
fish-6,2009-07-01,25
fish-6,2012-07-01,25
fish-6,2015-07-01,25
fish-7,2017-07-01,19
fish-8,2003-07-01,0
fish-8,2013-07-01,0
fish-8,2002-07-01,6
fish-8,2007-07-01,7
fish-8,2001-07-01,12
fish-8,2016-07-01,12
fish-8,2010-07-01,13
fish-9,2006-07-01,6
fish-9,2008-07-01,6
fish-9,2014-07-01,6
fish-9,2004-07-01,14
fish-9,2017-07-01,14
fish-9,2011-07-01,16
fish-9,2005-07-01,17
fish-10,2005-07-01,31
fish-10,2000-07-01,33
fish-10,2004-07-01,35
fish-10,1999-07-01,39
fish-10,1998-07-01,43
fish-10,2008-07-01,45
fish-10,2017-07-01,49
fish-10,2013-07-01,50
fish-10,2015-07-01,50
fish-10,2011-07-01,56
fish-11,2013-07-01,26
fish-11,2014-07-01,34
fish-12,2016-07-01,43
fish-12,1998-07-01,45
fish-12,2013-07-01,46
fish-12,1999-07-01,47
fish-12,2004-07-01,49
fish-12,2007-07-01,49
fish-12,2010-07-01,52
fish-12,2000-07-01,53
fish-13,2017-07-01,46
fish-13,2001-07-01,47
fish-13,2005-07-01,47
fish-13,2008-07-01,50
fish-13,2014-07-01,50
fish-13,2002-07-01,51
fish-13,2011-07-01,52
fish-13,2003-07-01,53
fish-14,2013-07-01,45
fish-14,2014-07-01,51
fish-15,2014-07-01,55
fish-15,2013-07-01,56
fish-16,2001-07-01,44
fish-16,2002-07-01,47
fish-16,2012-07-01,51
fish-16,2003-07-01,52
fish-16,2006-07-01,52
fish-16,2009-07-01,53
fish-16,2013-07-01,55
fish-16,2014-07-01,55
fish-16,2015-07-01,57
fish-17,2013-07-01,29
fish-17,2016-07-01,33
fish-18,2016-07-01,22
fish-19,2013-07-01,32
fish-20,1999-07-01,26
fish-20,2007-07-01,28
fish-20,2000-07-01,29
fish-20,2004-07-01,30
fish-20,2013-07-01,30
fish-20,2010-07-01,31
fish-20,1998-07-01,34
fish-21,2013-07-01,49
fish-22,2016-07-01,24
fish-23,2016-07-01,16
fish-24,2016-07-01,15
fish-25,2016-07-01,6
fish-26,2005-07-01,44
fish-26,2014-07-01,44
fish-26,1999-07-01,45
fish-26,2011-07-01,45
fish-26,1998-07-01,46
fish-26,2017-07-01,47
fish-26,2000-07-01,48
fish-26,2008-07-01,49
fish-27,2002-07-01,42
fish-27,2012-07-01,42
fish-27,2001-07-01,43
fish-27,2006-07-01,44
fish-27,2003-07-01,45
fish-27,2009-07-01,45
fish-27,2015-07-01,45
fish-28,2012-07-01,46
fish-28,2001-07-01,49
fish-28,2015-07-01,49
fish-28,2002-07-01,50
fish-28,2006-07-01,50
fish-28,2003-07-01,51
fish-28,2009-07-01,53
fish-29,2011-07-01,46
fish-29,1999-07-01,50
fish-29,2008-07-01,50
fish-29,2014-07-01,50
fish-29,2017-07-01,50
fish-29,1998-07-01,51
fish-29,2000-07-01,52
fish-29,2005-07-01,52
fish-30,1998-07-01,42
fish-30,1999-07-01,46
fish-30,2010-07-01,49
fish-30,2000-07-01,51
fish-30,2004-07-01,53
fish-30,2007-07-01,53
fish-30,2016-07-01,53
fish-30,2013-07-01,56
fish-31,1998-07-01,43
fish-31,1999-07-01,43
fish-31,2000-07-01,45
fish-31,2007-07-01,46
fish-31,2004-07-01,47
fish-31,2013-07-01,47
fish-31,2016-07-01,48
fish-31,2010-07-01,49
fish-32,2008-07-01,43
fish-32,2007-07-01,47
fish-32,2010-07-01,48
fish-32,2004-07-01,51
fish-32,1998-07-01,52
fish-32,2000-07-01,52
fish-32,2013-07-01,53
fish-32,1999-07-01,54
fish-32,2016-07-01,54
fish-33,2011-07-01,44
fish-34,2012-07-01,47
fish-34,2002-07-01,50
fish-34,2015-07-01,50
fish-34,2001-07-01,51
fish-34,2006-07-01,52
fish-34,2009-07-01,52
fish-34,2003-07-01,54
fish-35,2010-07-01,49
fish-35,2009-07-01,50
fish-36,2009-07-01,54
fish-36,2010-07-01,55
fish-37,2009-07-01,48
fish-37,2010-07-01,50
fish-38,2005-07-01,42
fish-38,2003-07-01,46
fish-38,2008-07-01,46
fish-38,2014-07-01,47
fish-38,2001-07-01,48
fish-38,2002-07-01,48
fish-38,2011-07-01,48
fish-38,2017-07-01,52
fish-39,2009-07-01,20
fish-39,2008-07-01,26
fish-39,2007-07-01,33
fish-40,2007-07-01,17
fish-40,2008-07-01,22
fish-40,2009-07-01,26
fish-41,2016-07-01,18
fish-42,2016-07-01,14
fish-43,2016-07-01,17
fish-44,2015-07-01,26
fish-44,2005-07-01,27
fish-44,2004-07-01,28
fish-44,2012-07-01,32
fish-44,2006-07-01,33
fish-44,2009-07-01,35
fish-45,2011-07-01,22
fish-45,2002-07-01,26
fish-45,2017-07-01,26
fish-45,2003-07-01,27
fish-45,2008-07-01,27
fish-45,2014-07-01,27
fish-45,2004-07-01,29
fish-46,2005-07-01,22
fish-46,2004-07-01,27
fish-46,2006-07-01,30
fish-46,2011-07-01,30
fish-46,2014-07-01,32
fish-46,2008-07-01,34
fish-47,2001-07-01,19
fish-47,2003-07-01,21
fish-47,2002-07-01,23
fish-47,2012-07-01,24
fish-47,2015-07-01,24
fish-47,2009-07-01,35
fish-48,2017-07-01,31
fish-49,2003-07-01,20
fish-49,2001-07-01,23
fish-49,2002-07-01,34
fish-49,2010-07-01,35
fish-49,2016-07-01,35
fish-49,2007-07-01,36
fish-49,2013-07-01,36
fish-50,2012-07-01,6
fish-50,2015-07-01,6
fish-50,2006-07-01,8
fish-50,2002-07-01,15
fish-50,2004-07-01,15
fish-50,2009-07-01,15
fish-50,2003-07-01,16
fish-51,2007-07-01,15
fish-51,2013-07-01,19
fish-51,2016-07-01,19
fish-51,2010-07-01,24
fish-51,2008-07-01,29
fish-51,2004-07-01,31
fish-51,1999-07-01,32
fish-51,2001-07-01,33
fish-51,2000-07-01,38
fish-52,2000-07-01,38
fish-52,2004-07-01,40
fish-52,2001-07-01,42
fish-52,2013-07-01,43
fish-52,2016-07-01,43
fish-52,1999-07-01,44
fish-52,2010-07-01,45
fish-52,2007-07-01,46
fish-53,2003-07-01,40
fish-53,2006-07-01,43
fish-53,2002-07-01,44
fish-53,2004-07-01,45
fish-53,2012-07-01,45
fish-53,2015-07-01,46
fish-53,2009-07-01,49
fish-54,2014-07-01,48
fish-54,2005-07-01,49
fish-54,2017-07-01,50
fish-54,2002-07-01,52
fish-54,2003-07-01,53
fish-54,2011-07-01,53
fish-54,2004-07-01,55
fish-54,2008-07-01,56
fish-55,2003-07-01,35
fish-55,2001-07-01,38
fish-55,2015-07-01,45
fish-55,2012-07-01,46
fish-55,2002-07-01,48
fish-55,2006-07-01,50
fish-55,2009-07-01,51
fish-56,2004-07-01,26
fish-56,2000-07-01,27
fish-56,2017-07-01,27
fish-56,2011-07-01,28
fish-56,2014-07-01,28
fish-56,2008-07-01,30
fish-56,1998-07-01,31
fish-56,1999-07-01,35
fish-57,2000-07-01,37
fish-57,1998-07-01,38
fish-57,2013-07-01,40
fish-57,1999-07-01,41
fish-57,2016-07-01,41
fish-57,2004-07-01,43
fish-57,2007-07-01,44
fish-57,2010-07-01,48
fish-58,2001-07-01,33
fish-58,2003-07-01,36
fish-58,2005-07-01,39
fish-58,2011-07-01,39
fish-58,2008-07-01,40
fish-58,2014-07-01,40
fish-58,2002-07-01,41
fish-58,2017-07-01,43
fish-59,2009-07-01,42
fish-59,2010-07-01,42
fish-60,2009-07-01,35
fish-60,2010-07-01,38
fish-61,2006-07-01,43
fish-61,2004-07-01,45
fish-61,2017-07-01,46
fish-61,2014-07-01,47
fish-61,2005-07-01,50
fish-61,2011-07-01,51
fish-61,2008-07-01,52
fish-62,2005-07-01,44
fish-62,2004-07-01,45
fish-62,2015-07-01,47
fish-62,2006-07-01,48
fish-62,2012-07-01,49
fish-62,2009-07-01,54
fish-63,1998-07-01,48
fish-63,2000-07-01,48
fish-63,1999-07-01,50
fish-63,2011-07-01,51
fish-63,2014-07-01,51
fish-63,2017-07-01,51
fish-63,2005-07-01,52
fish-63,2008-07-01,53
fish-64,2003-07-01,42
fish-64,2001-07-01,43
fish-64,2002-07-01,45
fish-64,2016-07-01,46
fish-64,2007-07-01,47
fish-64,2013-07-01,50
fish-64,2010-07-01,51
fish-65,2003-07-01,48
fish-65,2011-07-01,49
fish-65,2001-07-01,50
fish-65,2014-07-01,50
fish-65,2017-07-01,50
fish-65,2002-07-01,51
fish-65,2008-07-01,53
fish-66,2016-07-01,32
fish-66,2010-07-01,40
fish-66,2005-07-01,42
fish-66,2006-07-01,42
fish-66,2013-07-01,44
fish-66,2007-07-01,46
fish-67,2002-07-01,41
fish-67,2003-07-01,43
fish-67,2014-07-01,44
fish-67,2001-07-01,45
fish-67,2008-07-01,45
fish-67,2017-07-01,48
fish-67,2011-07-01,49
fish-68,2005-07-01,38
fish-68,2012-07-01,40
fish-68,2007-07-01,41
fish-68,2015-07-01,41
fish-68,2008-07-01,44
fish-68,2009-07-01,47
fish-69,2015-07-01,47
fish-69,2003-07-01,49
fish-69,2002-07-01,50
fish-69,2001-07-01,51
fish-69,2009-07-01,51
fish-69,2012-07-01,54
fish-70,2006-07-01,44
fish-70,2005-07-01,46
fish-70,2004-07-01,47
fish-70,2012-07-01,48
fish-70,2015-07-01,48
fish-70,2009-07-01,50
fish-71,2002-07-01,50
fish-71,2015-07-01,50
fish-71,2001-07-01,51
fish-71,2009-07-01,52
fish-71,2012-07-01,54
fish-71,2003-07-01,55
fish-71,2006-07-01,56
fish-72,2008-07-01,42
fish-72,2007-07-01,45
fish-72,2009-07-01,50
fish-73,2001-07-01,44
fish-73,2003-07-01,44
fish-73,2012-07-01,48
fish-73,2006-07-01,50
fish-73,2002-07-01,51
fish-73,2009-07-01,51
fish-73,2015-07-01,53
fish-74,2009-07-01,45
fish-74,2008-07-01,47
fish-74,2007-07-01,48
fish-75,2003-07-01,41
fish-75,2001-07-01,44
fish-75,2007-07-01,45
fish-75,2016-07-01,46
fish-75,2002-07-01,50
fish-75,2010-07-01,50
fish-75,2013-07-01,51
fish-76,1998-07-01,48
fish-76,1999-07-01,48
fish-76,2000-07-01,48
fish-76,2013-07-01,49
fish-76,2004-07-01,50
fish-76,2007-07-01,51
fish-76,2010-07-01,51
fish-76,2016-07-01,51
fish-77,2001-07-01,51
fish-77,2003-07-01,52
fish-77,2009-07-01,53
fish-77,2015-07-01,53
fish-77,2002-07-01,54
fish-77,2006-07-01,56
fish-77,2012-07-01,56
fish-78,2016-07-01,45
fish-78,2007-07-01,46
fish-78,2004-07-01,49
fish-78,2010-07-01,49
fish-78,2005-07-01,52
fish-78,2006-07-01,52
fish-78,2013-07-01,54
fish-79,2012-07-01,37
fish-79,2013-07-01,40
fish-79,2014-07-01,42
fish-80,1998-07-01,46
fish-80,2016-07-01,47
fish-80,1999-07-01,49
fish-80,2000-07-01,49
fish-80,2004-07-01,49
fish-80,2010-07-01,53
fish-80,2013-07-01,54
fish-80,2007-07-01,55
fish-81,2000-07-01,46
fish-81,2017-07-01,50
fish-81,2005-07-01,51
fish-81,2011-07-01,51
fish-81,1999-07-01,52
fish-81,2014-07-01,52
fish-81,1998-07-01,53
fish-81,2008-07-01,53
fish-82,2004-07-01,49
fish-82,2000-07-01,51
fish-82,1998-07-01,53
fish-82,2013-07-01,54
fish-82,2007-07-01,55
fish-82,2010-07-01,55
fish-82,2016-07-01,55
fish-82,1999-07-01,56
fish-83,2001-07-01,47
fish-83,2002-07-01,50
fish-83,2017-07-01,50
fish-83,2005-07-01,51
fish-83,2014-07-01,51
fish-83,2003-07-01,54
fish-83,2011-07-01,54
fish-83,2008-07-01,56
fish-84,2008-07-01,44
fish-84,2014-07-01,45
fish-84,2011-07-01,48
fish-84,2017-07-01,49
fish-84,2000-07-01,50
fish-84,1999-07-01,51
fish-84,2005-07-01,51
fish-84,2001-07-01,52
fish-85,2009-07-01,40
fish-85,2010-07-01,42
fish-86,2010-07-01,45
fish-86,2009-07-01,46
fish-87,2009-07-01,34
fish-87,2008-07-01,38
fish-87,2007-07-01,40
fish-88,2009-07-01,28
fish-88,2008-07-01,36
fish-88,2007-07-01,37
fish-89,2007-07-01,32
fish-89,2008-07-01,42
fish-89,2009-07-01,43
fish-90,2005-07-01,29
fish-90,2001-07-01,31
fish-90,2009-07-01,33
fish-90,2015-07-01,34
fish-90,2003-07-01,35
fish-90,2002-07-01,36
fish-90,2012-07-01,36
fish-90,2006-07-01,38
fish-91,2010-07-01,30
fish-91,2007-07-01,31
fish-91,2005-07-01,33
fish-91,2013-07-01,33
fish-91,2016-07-01,33
fish-91,1999-07-01,34
fish-91,2004-07-01,34
fish-91,1998-07-01,36
fish-91,2001-07-01,36
fish-91,2000-07-01,37
fish-91,2002-07-01,37
fish-91,2003-07-01,37
fish-92,2001-07-01,28
fish-92,2000-07-01,29
fish-92,2003-07-01,31
fish-92,2005-07-01,34
fish-92,2011-07-01,36
fish-92,2004-07-01,37
fish-92,2002-07-01,38
fish-92,2014-07-01,40
fish-92,2008-07-01,42
fish-92,1999-07-01,43
fish-92,1998-07-01,44
fish-92,2017-07-01,44
